instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,instructionsLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution,fix_onset,tprac,practiceKey.keys,practiceKey.rt,pracitem_chosen_name,acc_practice,P1_onsetPrac,P2_onsetPrac,onsetFeedbPrac,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,P1,P2,Block,LocItem1,LocItem2,NameItem1,NameItem2,key_respAC_prac.keys,key_respAC_prac.corr,key_respAC_prac.rt,AC_acc,Attentions.thisRepN,Attentions.thisTrialN,Attentions.thisN,Attentions.thisIndex,Attentions.ran,Stim,Loc1,Loc2,Loc3,Loc4,CorrAns,keyDisturbed.keys,keyDisturbed.rt,repPractice.thisRepN,repPractice.thisTrialN,repPractice.thisN,repPractice.thisIndex,repPractice.ran
0,0,0,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,1,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0,2,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0,3,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,4,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,5,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,6,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,7,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,8,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,9,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,10,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,11,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,12,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,13,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0,14,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,15,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,16,0,1,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,6.898865,1,right,0.83811,canary,1,6.92747,6.92747,9.425735,0,0,0,0,1,2,5,1,html/resources/stimuli_practice_decision/04_beetle.jpg,html/resources/stimuli_practice_decision/02_canary.jpg,beetle,canary,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,9.950905,2,left,0.63015,rabbit,1,9.976895,9.976895,12.47298,0,1,1,1,1,4,3,1,html/resources/stimuli_practice_decision/01_rabbit.jpg,html/resources/stimuli_practice_decision/07_sock.jpg,rabbit,sock,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,13.476665,3,left,0.718515,pullover,1,13.4949,13.4949,15.991805,0,2,2,2,1,6,2,1,html/resources/stimuli_practice_decision/06_pullover.jpg,html/resources/stimuli_practice_decision/04_beetle.jpg,pullover,beetle,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,16.509465,4,left,0.828395,glasses,1,16.528685,16.528685,19.02556,0,3,3,3,1,7,1,1,html/resources/stimuli_practice_decision/05_glasses.jpg,html/resources/stimuli_practice_decision/08_handmixer.jpg,glasses,handmixer,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,19.544005,5,left,1.024615,glasses,1,19.56206,19.56206,22.05953,0,4,4,4,1,7,6,1,html/resources/stimuli_practice_decision/05_glasses.jpg,html/resources/stimuli_practice_decision/06_pullover.jpg,glasses,pullover,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,23.061105,6,right,0.55282,glasses,1,23.080755,23.080755,25.57672,0,5,5,5,1,4,7,1,html/resources/stimuli_practice_decision/01_rabbit.jpg,html/resources/stimuli_practice_decision/05_glasses.jpg,rabbit,glasses,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,26.095975,7,left,0.7139,handmixer,0,26.12175,26.12175,28.600455,0,6,6,6,1,1,2,1,html/resources/stimuli_practice_decision/08_handmixer.jpg,html/resources/stimuli_practice_decision/04_beetle.jpg,handmixer,beetle,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,29.595735,8,left,0.84469,rabbit,1,29.65593,29.65593,32.149605,0,7,7,7,1,4,3,1,html/resources/stimuli_practice_decision/01_rabbit.jpg,html/resources/stimuli_practice_decision/07_sock.jpg,rabbit,sock,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,down,1,1.386465,1,0,0,0,1,1,html/resources/sequences_IDs/star.png,square ↑,circle →,star ↓,← triangle,down,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,right,0,1.83624,0,0,1,1,0,1,html/resources/sequences_IDs/circle.png,circle ↑,square →,triangle ↓,← star ,up,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,down,1,4.115935,1,0,2,2,3,1,html/resources/sequences_IDs/triangle.png,star ↑,square →,triangle ↓,← circle,down,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,left,1,3.38108,1,0,3,3,2,1,html/resources/sequences_IDs/square1.png,star ↑,triangle →,circle ↓,← square,left,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.402015,0,0,0,0,1
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,48.07161,9,left,0.828145,pullover,0,48.084025,48.084025,50.58165,0,0,0,0,1,6,7,1,html/resources/stimuli_practice_decision/06_pullover.jpg,html/resources/stimuli_practice_decision/05_glasses.jpg,pullover,glasses,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,51.584175,10,left,0.71874,pullover,1,51.618715,51.618715,54.115975,0,1,1,1,1,6,2,1,html/resources/stimuli_practice_decision/06_pullover.jpg,html/resources/stimuli_practice_decision/04_beetle.jpg,pullover,beetle,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,54.633905,11,left,1.56935,canary,0,54.670915,54.670915,57.16621,0,2,2,2,1,5,6,1,html/resources/stimuli_practice_decision/02_canary.jpg,html/resources/stimuli_practice_decision/06_pullover.jpg,canary,pullover,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,58.167855,12,right,0.952635,glasses,0,58.202715,58.202715,60.690655,0,3,3,3,1,8,7,1,html/resources/stimuli_practice_decision/03_squirrel.jpg,html/resources/stimuli_practice_decision/05_glasses.jpg,squirrel,glasses,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,61.689735,13,left,0.567065,canary,1,61.726205,61.726205,64.217665,0,4,4,4,1,5,3,1,html/resources/stimuli_practice_decision/02_canary.jpg,html/resources/stimuli_practice_decision/07_sock.jpg,canary,sock,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,64.73649,14,left,0.876785,glasses,0,64.754685,64.754685,67.25153,0,5,5,5,1,7,8,1,html/resources/stimuli_practice_decision/05_glasses.jpg,html/resources/stimuli_practice_decision/03_squirrel.jpg,glasses,squirrel,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,68.25301,15,right,0.98753,rabbit,0,68.27464,68.27464,70.758655,0,6,6,6,1,5,4,1,html/resources/stimuli_practice_decision/02_canary.jpg,html/resources/stimuli_practice_decision/01_rabbit.jpg,canary,rabbit,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,71.759255,16,left,0.508045,canary,1,71.776625,71.776625,74.269385,0,7,7,7,1,5,3,1,html/resources/stimuli_practice_decision/02_canary.jpg,html/resources/stimuli_practice_decision/07_sock.jpg,canary,sock,,,,,,,,,,,,,,,,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,down,1,1.550555,1,0,0,0,3,1,html/resources/sequences_IDs/triangle.png,star ↑,square →,triangle ↓,← circle,down,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,up,1,2.075725,1,0,1,1,0,1,html/resources/sequences_IDs/circle.png,circle ↑,square →,triangle ↓,← star ,up,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,down,1,1.47324,1,0,2,2,1,1,html/resources/sequences_IDs/star.png,square ↑,circle →,star ↓,← triangle,down,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,left,1,1.44486,1,0,3,3,2,1,html/resources/sequences_IDs/square1.png,star ↑,triangle →,circle ↓,← square,left,,,,,,,
,,,,,62,2020-07-04_17h19.07.774,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.208895,1,0,1,0,1
