instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,instructionsLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,browser,xResolution,yResolution,fix_onset,tprac,practiceKey.keys,practiceKey.rt,pracitem_chosen_name,acc_practice,P1_onsetPrac,P2_onsetPrac,onsetFeedbPrac,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,P1,P2,Block,LocItem1,LocItem2,NameItem1,NameItem2,key_respAC_prac.keys,key_respAC_prac.corr,key_respAC_prac.rt,AC_acc,Attentions.thisRepN,Attentions.thisTrialN,Attentions.thisN,Attentions.thisIndex,Attentions.ran,Stim,Loc1,Loc2,Loc3,Loc4,CorrAns,keyDisturbed.keys,keyDisturbed.rt,repPractice.thisRepN,repPractice.thisTrialN,repPractice.thisN,repPractice.thisIndex,repPractice.ran,fixcross_onsetMain,trialNumber,key_resp.keys,item_chosen_name,item_chosen_value,item_chosen_ID,diff_chosen_minus_reject,key_resp.rt,acc_real,acc_feedback,P1_onset,P2_onset,feedb_onset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Trial,ValueP1,ValueP2,P1name,P2name,P1Loc,P2Loc,P1id,P2id,Micro_categoryP1,Macro_categoryP1,Micro_categoryP2,Macro_categoryP2,ID_sequenceP1,ID_sequenceP2,InverseFb,pNumber
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,left,1,1.2616,1,0,3,3,2,1,html/resources/sequences_IDs/square1.png,star ↑,triangle →,circle ↓,← square,left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.2776,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,57.1347,9,right,1.4755,glasses,1,57.1576,57.1576,59.6553,0,0,0,0,1,6,7,1,html/resources/stimuli_practice_decision/06_pullover.jpg,html/resources/stimuli_practice_decision/05_glasses.jpg,pullover,glasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,60.6556,10,NaN,NaN,No_response,2,60.6898,60.6898,63.188,0,1,1,1,1,6,2,1,html/resources/stimuli_practice_decision/06_pullover.jpg,html/resources/stimuli_practice_decision/04_beetle.jpg,pullover,beetle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,64.189,11,right,0.9873,pullover,1,64.2235,64.2235,66.7216,0,2,2,2,1,5,6,1,html/resources/stimuli_practice_decision/02_canary.jpg,html/resources/stimuli_practice_decision/06_pullover.jpg,canary,pullover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,67.7221,12,right,1.4136,glasses,0,67.7564,67.7564,70.2546,0,3,3,3,1,8,7,1,html/resources/stimuli_practice_decision/03_squirrel.jpg,html/resources/stimuli_practice_decision/05_glasses.jpg,squirrel,glasses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,71.2552,13,left,0.9475,canary,1,71.2897,71.2897,73.7879,0,4,4,4,1,5,3,1,html/resources/stimuli_practice_decision/02_canary.jpg,html/resources/stimuli_practice_decision/07_sock.jpg,canary,sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,74.3054,14,left,0.7586,glasses,0,74.3229,74.3229,76.8213,0,5,5,5,1,7,8,1,html/resources/stimuli_practice_decision/05_glasses.jpg,html/resources/stimuli_practice_decision/03_squirrel.jpg,glasses,squirrel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,77.8221,15,right,0.4511,rabbit,0,77.8561,77.8561,80.3555,0,6,6,6,1,5,4,1,html/resources/stimuli_practice_decision/02_canary.jpg,html/resources/stimuli_practice_decision/01_rabbit.jpg,canary,rabbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,81.355,16,right,0.319,sock,0,81.3909,81.3909,83.8872,0,7,7,7,1,5,3,1,html/resources/stimuli_practice_decision/02_canary.jpg,html/resources/stimuli_practice_decision/07_sock.jpg,canary,sock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
