instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,instructionsLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,browser,xResolution,yResolution,fix_onset,tprac,practiceKey.keys,practiceKey.rt,pracitem_chosen_name,acc_practice,P1_onsetPrac,P2_onsetPrac,onsetFeedbPrac,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,P1,P2,Block,LocItem1,LocItem2,NameItem1,NameItem2,key_respAC_prac.keys,key_respAC_prac.corr,key_respAC_prac.rt,AC_acc,Attentions.thisRepN,Attentions.thisTrialN,Attentions.thisN,Attentions.thisIndex,Attentions.ran,Stim,Loc1,Loc2,Loc3,Loc4,CorrAns,keyDisturbed.keys,keyDisturbed.rt,repPractice.thisRepN,repPractice.thisTrialN,repPractice.thisN,repPractice.thisIndex,repPractice.ran,fixcross_onsetMain,trialNumber,key_resp.keys,item_chosen_name,item_chosen_value,item_chosen_ID,diff_chosen_minus_reject,key_resp.rt,acc_real,acc_feedback,P1_onset,P2_onset,feedb_onset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Trial,ValueP1,ValueP2,P1name,P2name,P1Loc,P2Loc,P1id,P2id,Micro_categoryP1,Macro_categoryP1,Micro_categoryP2,Macro_categoryP2,ID_sequenceP1,ID_sequenceP2,InverseFb,pNumber
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,118.4526,6,right,redfox      ,8,1,1,0.9635,1,1,118.4708,118.4708,120.969,0,5,5,5,1,6,7,8,hat           ,redfox      ,html/resources/sequences_IDs/A/08_hat.jpg,html/resources/sequences_IDs/B/01_redfox.jpg,8,1,3,2,1,1,6,1,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0696,7,NaN,No_response,NaN,NaN,NaN,NaN,2,2,122.1036,122.1036,124.6024,0,6,6,6,1,7,1,7,calculator    ,hat           ,html/resources/sequences_IDs/A/09_calculator.jpg,html/resources/sequences_IDs/A/08_hat.jpg,9,8,4,2,3,2,7,6,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,125.7029,8,NaN,No_response,NaN,NaN,NaN,NaN,2,2,125.7385,125.7385,128.2351,0,7,7,7,1,8,2,3,radio       ,clownfish     ,html/resources/sequences_IDs/B/10_radio.jpg,html/resources/sequences_IDs/A/04_clownfish.jpg,10,4,4,2,2,1,8,3,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,129.3355,9,left,redfox      ,8,1,3,1.0854,1,3,129.3723,129.3723,131.8686,0,8,8,8,1,9,8,5,redfox      ,dress         ,html/resources/sequences_IDs/B/01_redfox.jpg,html/resources/sequences_IDs/A/07_dress.jpg,1,7,1,1,3,2,1,5,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,132.4692,10,right,dress         ,5,7,-1,0.9225,0,0,132.5028,132.5028,135.0018,0,9,9,9,1,10,6,5,giraffe     ,dress         ,html/resources/sequences_IDs/B/03_giraffe.jpg,html/resources/sequences_IDs/A/07_dress.jpg,3,7,1,1,3,2,2,5,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,136.102,11,right,giraffe     ,6,3,1,0.9191,1,1,136.1358,136.1358,138.6349,0,10,10,10,1,11,5,6,dress         ,giraffe     ,html/resources/sequences_IDs/A/07_dress.jpg,html/resources/sequences_IDs/B/03_giraffe.jpg,7,3,3,2,1,1,5,2,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,139.7355,12,left,hat           ,7,8,5,1.2493,1,3,139.7526,139.7526,142.2517,0,11,11,11,1,12,7,2,hat           ,radio       ,html/resources/sequences_IDs/A/08_hat.jpg,html/resources/sequences_IDs/B/10_radio.jpg,8,10,3,2,4,2,6,8,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,142.8689,13,left,radio       ,2,10,1,1.8326,1,1,142.9024,142.9024,145.4015,0,12,12,12,1,13,2,1,radio       ,calculator    ,html/resources/sequences_IDs/B/10_radio.jpg,html/resources/sequences_IDs/A/09_calculator.jpg,10,9,4,2,4,2,8,7,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,146.5018,14,left,giraffe     ,6,3,-1,1.3644,0,0,146.5361,146.5361,149.0347,0,13,13,13,1,14,6,7,giraffe     ,hat           ,html/resources/sequences_IDs/B/03_giraffe.jpg,html/resources/sequences_IDs/A/08_hat.jpg,3,8,1,1,3,2,2,6,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,150.1351,15,right,parrot      ,4,5,1,1.6289,1,1,150.1692,150.1692,152.6678,0,14,14,14,1,15,3,4,clownfish     ,parrot      ,html/resources/sequences_IDs/A/04_clownfish.jpg,html/resources/sequences_IDs/B/05_parrot.jpg,4,5,2,1,2,1,3,4,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,153.768,16,left,redfox      ,8,1,6,1.1289,1,3,153.7862,153.7862,156.2843,0,15,15,15,1,16,8,2,redfox      ,radio       ,html/resources/sequences_IDs/B/01_redfox.jpg,html/resources/sequences_IDs/B/10_radio.jpg,1,10,1,1,4,2,1,8,0,92
,,,,,92,2020-07-04_20h30.38.134,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,156.8854,17,NaN,No_response,NaN,NaN,NaN,NaN,2,2,156.9189,156.9189,159.4177,0,16,16,16,1,17,5,4,dress         ,parrot      ,html/resources/sequences_IDs/A/07_dress.jpg,html/resources/sequences_IDs/B/05_parrot.jpg,7,5,3,2,2,1,5,4,0,92
