instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,instructionsLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,browser,xResolution,yResolution
0,0,0,0,1,71,2020-07-04_19h24.05.967,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768
1,0,1,0,1,71,2020-07-04_19h24.05.967,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768
2,0,2,0,1,71,2020-07-04_19h24.05.967,retriever_ti,2020.1.3,Win32,60,Chrome,1366,768
