instructionsLoop.thisRepN,instructionsLoop.thisTrialN,instructionsLoop.thisN,instructionsLoop.thisIndex,instructionsLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,fbclid,browser,xResolution,yResolution,fix_onset,tprac,practiceKey.keys,practiceKey.rt,pracitem_chosen_name,acc_practice,P1_onsetPrac,P2_onsetPrac,onsetFeedbPrac,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,P1,P2,Block,LocItem1,LocItem2,NameItem1,NameItem2,key_respAC_prac.keys,key_respAC_prac.corr,AC_acc,Attentions.thisRepN,Attentions.thisTrialN,Attentions.thisN,Attentions.thisIndex,Attentions.ran,Stim,Loc1,Loc2,Loc3,Loc4,CorrAns
,,,,,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,53.2855,2,NaN,NaN,No_response,2,53.3153,53.3153,55.8136,0,1,1,1,1,4,3,1,html/resources/stimuli_practice_decision/01_rabbit.jpg,html/resources/stimuli_practice_decision/07_sock.jpg,rabbit,sock,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,56.3305,3,right,0.8028,beetle,0,56.348,56.348,58.8468,0,2,2,2,1,6,2,1,html/resources/stimuli_practice_decision/06_pullover.jpg,html/resources/stimuli_practice_decision/04_beetle.jpg,pullover,beetle,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,59.3639,4,right,1.0116,handmixer,0,59.3812,59.3812,61.88,0,3,3,3,1,7,1,1,html/resources/stimuli_practice_decision/05_glasses.jpg,html/resources/stimuli_practice_decision/08_handmixer.jpg,glasses,handmixer,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,62.3971,5,right,0.5224,pullover,0,62.4311,62.4311,64.9298,0,4,4,4,1,7,6,1,html/resources/stimuli_practice_decision/05_glasses.jpg,html/resources/stimuli_practice_decision/06_pullover.jpg,glasses,pullover,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,65.93,6,left,0.7593,rabbit,0,65.9495,65.9495,68.4464,0,5,5,5,1,4,7,1,html/resources/stimuli_practice_decision/01_rabbit.jpg,html/resources/stimuli_practice_decision/05_glasses.jpg,rabbit,glasses,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,68.9641,7,NaN,NaN,No_response,2,68.9977,68.9977,71.4959,0,6,6,6,1,1,2,1,html/resources/stimuli_practice_decision/08_handmixer.jpg,html/resources/stimuli_practice_decision/04_beetle.jpg,handmixer,beetle,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,72.0127,8,NaN,NaN,No_response,2,72.0473,72.0473,74.546,0,7,7,7,1,4,3,1,html/resources/stimuli_practice_decision/01_rabbit.jpg,html/resources/stimuli_practice_decision/07_sock.jpg,rabbit,sock,,,,,,,,,,,,,,
,,,,,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,1,html/resources/sequences_IDs/square1.png,star ↑,triangle →,circle ↓,← square,left
,,,,,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,1,html/resources/sequences_IDs/circle.png,circle ↑,square →,triangle ↓,← star ,up
,,,,,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,2,1,1,html/resources/sequences_IDs/star.png,square ↑,circle →,star ↓,← triangle,down
,,,,,92,2020-07-04_20h27.49.126,retriever_ti,2020.1.3,MacIntel,60,IwAR1ZKiydhZvjUAjBoglzHT1x_YqWxOendbJOsrdPXUiaJr37IoftP9U-6So,Chrome,1440,900,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,3,3,1,html/resources/sequences_IDs/triangle.png,star ↑,square →,triangle ↓,← circle,down
